,area,centroid-0,centroid-1,perimeter,orientation,major_axis_length,minor_axis_length,max_intensity-0,min_intensity-0,mean_intensity-0,max_intensity-1,min_intensity-1,mean_intensity-1,max_intensity-2,min_intensity-2,mean_intensity-2
0,0.00010251700766047942,90.33469026548673,990.8818879056047,0.039747596983593654,-0.4243289129291107,0.014145389074968802,0.0092926233105404,128.0,29.0,93.6587982832618,128.0,29.0,93.6587982832618,128.0,29.0,93.6587982832618
1,0.0001014283314729345,324.5382528324389,550.2282349433513,0.04115205384816341,-0.10781512016682565,0.013275565508828706,0.010150166734449914,112.0,31.0,70.78345323741007,112.0,31.0,70.78345323741007,112.0,31.0,70.78345323741007
2,7.769519058445537e-05,330.6836369297836,483.58461777985366,0.03525224648896415,1.4404084590257384,0.011811305867605206,0.008649690522603554,130.0,37.0,84.26459510357816,130.0,37.0,84.26459510357816,130.0,37.0,84.26459510357816
3,9.671073466023988e-05,384.8762038774234,192.38101938711694,0.03828898722514835,-1.2539761922157349,0.013079469187112181,0.009470921821443407,136.0,8.0,74.88528301886792,136.0,8.0,74.88528301886792,136.0,8.0,74.88528301886792
4,6.59374877589703e-05,380.68093010456795,255.70505411851036,0.033624608201202416,-0.14491189047513708,0.011071893008164918,0.007998524684330367,137.0,53.0,91.70814977973568,137.0,53.0,91.70814977973568,137.0,53.0,91.70814977973568
5,0.0002311985330282883,394.8264008789829,291.0555381154188,0.05992909116324067,-0.2103906156029358,0.019953810672544318,0.014915471978317753,175.0,29.0,90.52011313639221,175.0,29.0,90.52011313639221,175.0,29.0,90.52011313639221
6,0.00014678983928730592,424.5374536464771,804.4674495261639,0.04786800314316987,1.4373372635865964,0.014804764531192234,0.012992221853547366,125.0,26.0,78.71845620979713,125.0,26.0,78.71845620979713,125.0,26.0,78.71845620979713
7,0.00033825169147020485,455.16561170117654,147.33801809534026,0.06962762830055581,1.2938897863501622,0.02185159056756941,0.019854757949128127,116.0,20.0,67.83049385378477,116.0,20.0,67.83049385378477,116.0,20.0,67.83049385378477
8,0.00032467952833214493,491.901037591744,462.5646864870906,0.0736336784864684,0.9362307396175155,0.024205110218405445,0.017518356143729135,151.0,44.0,95.71342416796962,151.0,44.0,95.71342416796962,151.0,44.0,95.71342416796962
9,2.28259107321917e-05,610.3235294117648,216.1552729199788,0.01925047660839886,-1.5062717246475188,0.0071473469698506275,0.004171043027372561,157.0,55.0,106.07432432432432,157.0,55.0,106.07432432432432,157.0,55.0,106.07432432432432
10,0.00010614592828562913,604.0244729344729,640.3635612535612,0.04018274439843501,-0.6230898292231914,0.01241568301875954,0.011051761172909663,139.0,14.0,94.45110192837465,139.0,14.0,94.45110192837465,139.0,14.0,94.45110192837465
11,0.0001941835426517612,66.73020619198904,224.48087584875103,0.05755067926508981,-0.2124426151099661,0.021640770517789135,0.01163139086509937,130.0,35.0,82.27869467366841,130.0,35.0,82.27869467366841,130.0,35.0,82.27869467366841
12,0.00016914399033822816,123.52486948437388,269.02851677036404,0.05547667813094413,-0.20860918727141597,0.01794973928810801,0.012877449774225043,128.0,23.0,72.28177509694098,128.0,23.0,72.28177509694098,128.0,23.0,72.28177509694098
13,6.72438991840242e-05,93.25539665407447,960.8821280805901,0.03431001348617353,-0.24314973994712535,0.012545301683679599,0.007215952854890346,121.0,38.0,77.51693989071038,121.0,38.0,77.51693989071038,121.0,38.0,77.51693989071038
14,0.00011151673081085071,139.3149473912572,823.7639114871461,0.04073276744871726,0.6828486801136356,0.012472517368919215,0.011500132582725885,165.0,61.0,108.88794233289646,165.0,61.0,108.88794233289646,165.0,61.0,108.88794233289646
15,4.031730814541332e-05,164.6436393639364,847.6406390639064,0.025003686301366734,-0.6372696877773119,0.007755973309004295,0.006783848821103265,147.0,51.0,104.40579710144928,147.0,51.0,104.40579710144928,147.0,51.0,104.40579710144928
16,0.00029005962556821665,222.00186621627256,532.8974832144793,0.08346295227461967,-0.09396451398150865,0.027245475030345984,0.016259663285019068,134.0,31.0,81.09006289308176,134.0,31.0,81.09006289308176,134.0,31.0,81.09006289308176
17,0.00014635436881228796,170.607839490867,564.3682742375403,0.048956833812191874,0.9868455072821727,0.01845599221011863,0.010291167346986893,107.0,17.0,63.45739910313901,107.0,17.0,63.45739910313901,107.0,17.0,63.45739910313901
18,0.00015375736688759338,210.29765557391235,788.8464322240579,0.048814881729813235,0.1652388054925773,0.017488937096946523,0.011271546918981811,158.0,61.0,104.57136060894386,158.0,61.0,104.57136060894386,158.0,61.0,104.57136060894386
19,0.0002674151608672824,232.76089021576877,944.855204233953,0.06429370500703405,1.5070047602846455,0.02116421301707651,0.01643024851688874,128.0,21.0,77.14118607181719,128.0,21.0,77.14118607181719,128.0,21.0,77.14118607181719
20,6.267145919633556e-05,249.87058482918354,67.49411310557808,0.030364686041826277,0.11801075341990469,0.009497737126960074,0.00853794396431814,137.0,58.0,96.34818288393903,137.0,58.0,96.34818288393903,137.0,58.0,96.34818288393903
