,label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
0,1,18.997980884972314,863.9250632911393,25.70632911392405,8.045848047645787,3.9444888233524935,1.0945893155195288,21.589338140548044,253.0,255.0,255.0,169.55493670886077,175.0941772151899,171.14582278481012,0.0,0.0,0.0
1,2,4.540276950737687,151.87923728813558,916.9025423728814,3.6817289842403396,1.8578353735490125,0.8006884098961637,9.863529079533524,116.0,130.0,141.0,28.425847457627118,32.32627118644068,34.31991525423729,0.0,0.0,0.0
2,3,14.207603932710942,553.5470548408937,1255.3019634394043,4.639550277173641,4.151714292887108,-0.07519074767533176,15.585689313988958,235.0,233.0,210.0,143.44211238997968,138.88828706838186,123.95531482735274,4.0,4.0,4.0
3,4,8.878550054090859,589.8894907908992,901.6002166847237,5.184455642434638,2.3693500387901087,1.4037382943679397,13.255622688559308,234.0,218.0,195.0,76.78439869989165,63.48320693391116,51.79306608884074,3.0,2.0,0.0
4,5,6.416026962165334,691.8755622188905,1244.0314842578712,7.207130723484837,1.8278542112687763,1.141661024308499,16.313456106533387,115.0,124.0,123.0,19.632683658170915,28.26086956521739,34.64617691154423,0.0,0.0,0.0
5,6,4.751900028950037,853.1133603238867,617.6072874493927,3.64230741384489,1.6832398856154638,0.5122097476830488,8.97385981591392,106.0,110.0,111.0,15.821862348178138,15.37246963562753,20.412955465587043,0.0,0.0,0.0
6,7,14.707803935758314,29.962720732504906,1075.2871157619359,5.98165257690907,3.7933754230246057,-0.4001219157732359,17.842671788373007,247.0,255.0,255.0,57.50228907782865,70.43819489862655,80.34466971877043,0.0,0.0,0.0
7,8,5.550296187660266,25.155979202772965,181.105719237435,3.309619170606645,2.247997187414261,1.566434257421635,9.270979985737661,155.0,156.0,161.0,46.06412478336222,46.480069324090124,44.81629116117851,0.0,0.0,0.0
8,9,4.540276950737687,41.32203389830509,177.73093220338984,4.0165247955085706,1.5404326821752434,-1.3982561869071644,9.524587914104364,226.0,246.0,252.0,95.77754237288136,119.22245762711864,140.09745762711864,0.0,0.0,0.0
9,10,6.262119268919989,62.846390168970814,412.02918586789554,4.494135301250687,1.7918386826568145,-0.745228309309345,10.604638258241255,210.0,219.0,218.0,78.60215053763442,89.55760368663594,89.95238095238095,0.0,0.0,0.0
10,11,6.35831157719833,69.52798789712557,74.60060514372164,4.110123692986671,2.1224460861043553,-0.6886951956732184,10.891901124868808,254.0,255.0,255.0,105.95612708018155,111.2375189107413,110.14220877458396,0.0,0.0,0.0
11,12,9.378750057138232,64.55076923076923,1168.9261538461537,5.048075243611988,2.4559829489731593,0.23150817735378282,12.978217125127944,172.0,193.0,196.0,19.630769230769232,26.57948717948718,32.78974358974359,0.0,0.0,0.0
12,13,9.311415441343392,75.44214876033058,921.4276859504132,4.622540097661396,2.726208205205697,-1.072368560175,12.924847580474719,155.0,166.0,172.0,41.87190082644628,46.28099173553719,46.736570247933884,0.0,0.0,0.0
13,14,4.290176949214001,75.40582959641256,360.97533632286996,3.28282263366901,1.809508549955147,-1.1423251323706762,8.581549105831535,133.0,145.0,164.0,38.48654708520179,53.23094170403587,65.2085201793722,0.0,0.0,10.0
14,15,8.224442357798141,83.18479532163742,95.9812865497076,5.076000905052717,2.1707115891518853,-1.4844228706870923,12.47100126839454,212.0,206.0,232.0,76.90994152046784,88.83508771929824,110.28187134502924,0.0,0.0,0.0
15,16,13.909407777048084,102.85615491009682,455.3333333333333,5.337743180717568,3.5812437519162033,0.9473638875296422,15.474867196010223,225.0,224.0,211.0,118.10926694329184,119.56639004149378,112.37275242047026,0.0,0.0,0.0
16,17,10.350292370749473,97.11059479553903,186.5836431226766,4.434042267264324,3.0631841573580156,-1.2633926764153744,12.375810728135894,255.0,255.0,249.0,139.30669144981414,128.5585501858736,120.23420074349443,0.0,0.0,0.0
17,18,5.3290538786200825,113.17689530685921,430.66606498194943,4.272563705417834,1.624448114959638,0.83095575987177,10.026029496313868,226.0,210.0,204.0,88.69494584837545,80.35198555956678,71.18772563176896,0.0,0.0,0.0
18,19,4.2036038717634945,108.8741418764302,651.9107551487414,3.498845778236299,1.6703816138494347,1.1478211864587426,9.203670109215961,99.0,87.0,75.0,24.002288329519452,18.983981693363845,15.075514874141877,0.0,0.0,0.0
19,20,4.819234644744876,116.71057884231537,8.321357285429142,3.620859526521405,2.1255324826924755,-0.4407421033191586,10.170506552553451,85.0,108.0,139.0,27.219560878243513,38.34730538922156,53.78243512974052,0.0,0.0,0.0
20,21,9.792376982735098,129.3821218074656,308.02554027504914,4.979752764135856,2.625700055700781,-0.02135350882992584,13.432063437208127,220.0,235.0,242.0,71.69941060903733,80.00785854616896,87.04715127701375,0.0,0.0,0.0
21,22,13.341873158205875,129.197548666186,177.35688536409518,5.339950617548645,3.4572819628282034,-1.0954666058855655,15.298426447361408,255.0,255.0,253.0,138.40591204037491,141.1240086517664,138.18745493871666,0.0,0.0,0.0
22,23,4.540276950737687,129.36228813559322,211.48305084745763,3.6129030995462985,1.7356044059322366,0.5383836869727124,9.203670109215961,111.0,125.0,138.0,34.42372881355932,43.42372881355932,53.82627118644068,0.0,0.0,0.0
23,24,8.176346203658971,143.95294117647057,533.0447058823529,4.239518646917788,2.70794492940575,0.2856450818851193,12.068833255115965,104.0,112.0,115.0,19.12470588235294,21.55529411764706,22.823529411764707,0.0,0.0,0.0
24,25,7.060515427630217,148.81471389645776,365.1594005449591,4.537057132851262,2.2652502031173287,-0.06452585177023386,12.193595704963176,153.0,160.0,152.0,63.88283378746594,71.34332425068119,74.1866485013624,0.0,0.0,0.0
25,26,10.282957754954635,151.70533208606173,336.00374181478014,4.7491863477495215,3.094529240424216,-1.535670867944452,14.1551492553751,235.0,221.0,202.0,100.22170252572498,90.26753975678204,82.86716557530403,9.0,5.0,0.0
26,27,7.445284660743581,180.86821705426357,166.82428940568477,5.048116991368553,2.1465758143357228,0.5984721491403631,12.566191808653185,255.0,255.0,251.0,191.17958656330748,170.09173126614988,152.66795865633074,0.0,0.0,0.0
27,28,10.927446220419519,185.71038732394365,297.8776408450704,6.1116969119566935,2.589053628501368,0.06174440674543246,15.403474290816241,220.0,222.0,234.0,54.61619718309859,56.02904929577465,63.036091549295776,0.0,0.0,0.0
28,29,10.263719293298967,176.32146204311152,332.5004686035614,5.235487064915769,2.667905123490569,1.106412317340472,14.470292785739602,251.0,251.0,255.0,101.85567010309278,114.03561387066541,130.36176194939083,0.0,0.0,0.0
29,30,12.64928853860182,220.23346007604562,195.23269961977186,6.675718142917837,2.6621280229354047,0.949858872807801,16.053475957937614,188.0,216.0,233.0,65.18631178707224,77.04942965779468,88.3361216730038,0.0,0.0,0.0
30,31,7.579953892333258,242.0710659898477,430.252538071066,4.467095102830605,2.1963512438093638,1.4271494003049907,11.408974284798404,246.0,247.0,238.0,134.86294416243655,136.0241116751269,124.57360406091371,0.0,0.0,0.0
31,32,6.829653887762199,278.67605633802816,344.3605633802817,5.116001065683781,2.041637452716141,-0.23980791784942304,12.690954258500392,255.0,247.0,225.0,168.77464788732394,149.28450704225352,126.04647887323944,1.0,1.0,1.0
32,33,3.8573115619614677,281.2194513715711,103.6359102244389,2.5080968808980977,2.036318078677073,-1.399175316722068,7.481784155302266,132.0,149.0,167.0,54.403990024937656,66.85536159600997,79.10972568578553,0.0,0.0,0.0
33,34,10.763919296346339,320.4387846291332,573.0929401251117,5.520176444363909,3.4326476450905417,1.0132903104630562,16.245548284306523,190.0,190.0,219.0,66.10723860589812,85.48793565683646,107.28596961572833,0.0,0.0,2.0
34,35,3.8573115619614677,361.20947630922694,335.50374064837905,3.189965306082123,1.7746762160232399,-0.4471222118527035,8.591406409027725,212.0,203.0,199.0,121.50872817955113,112.49127182044887,100.60598503740648,21.0,20.0,13.0
35,36,6.387169269681832,373.80873493975906,589.0692771084338,3.8163308572844374,2.2353119800595946,0.7394263878068562,10.384685268135403,172.0,189.0,207.0,38.24698795180723,55.00451807228916,65.49548192771084,0.0,0.0,0.0
36,37,10.677346218895833,396.6630630630631,685.8765765765766,5.236349866801162,2.912704779903485,-0.9880929755098273,14.436637847478751,196.0,207.0,206.0,59.803603603603605,73.38108108108108,90.190990990991,0.0,0.0,0.0
37,38,11.100592375320533,419.03812824956674,413.65511265164645,5.893136960686074,2.508149164458213,-0.7440021442275241,14.450578179347223,142.0,178.0,200.0,34.773830155979205,50.96707105719238,58.70710571923743,0.0,0.0,0.0
38,39,20.575534740737105,419.5904628330996,630.5680224403927,6.495425049096205,4.091901650988467,-1.3724722479481157,17.632576101463343,253.0,254.0,246.0,110.05095839177186,110.57410004675081,103.33987844787283,0.0,0.0,0.0
39,40,10.023238522603116,418.8483685220729,787.6833013435701,4.798396835669949,2.8028761033951635,1.556207769544287,13.208027418429987,75.0,83.0,89.0,14.514395393474087,18.746641074856047,22.94721689059501,0.0,0.0,0.0
40,41,7.551096199849756,421.40254777070066,295.7503184713376,4.124773854979046,2.417549184800447,0.8494180028616943,11.04046120978068,255.0,255.0,234.0,130.25222929936305,120.41273885350319,103.01656050955414,0.0,0.0,0.0
41,42,19.344273194774342,434.24117354549975,465.18796618597713,5.949412649917638,4.143592689260302,0.9319325984569341,16.60828708480034,255.0,255.0,245.0,226.7826951765291,213.6663351566385,182.0641471904525,0.0,0.0,0.0
42,43,8.69578466836201,433.6869469026549,1198.171460176991,4.841856466585143,2.3552912036541302,1.310417782312348,12.169798069898514,133.0,158.0,180.0,30.74225663716814,41.04203539823009,53.38053097345133,0.0,0.0,0.0
43,44,7.147088505080724,454.956931359354,410.835800807537,4.695390009316373,1.9697567802375855,-0.5475550175575313,11.514022128253236,143.0,158.0,176.0,38.02153432032301,45.83041722745626,49.4185733512786,0.0,0.0,0.0
44,45,10.29257698578247,462.3439252336449,460.82990654205605,6.786820199505595,2.3940001605562835,0.9944755114849296,16.41213172975915,205.0,204.0,223.0,56.24485981308411,72.40186915887851,89.33364485981308,0.0,0.0,0.0
45,46,6.108211575674643,473.52283464566926,1062.820472440945,3.2289527371719697,2.4920726514401528,1.116962509736107,9.681314056360803,77.0,91.0,111.0,18.5496062992126,29.436220472440944,39.6992125984252,0.0,0.0,2.0
