,area,centroid-0,centroid-1,perimeter,orientation,major_axis_length,minor_axis_length,max_intensity-0,min_intensity-0,mean_intensity-0,max_intensity-1,min_intensity-1,mean_intensity-1,max_intensity-2,min_intensity-2,mean_intensity-2
311,0.00019609122788698323,528.6404481917018,1040.2694327342651,0.061262902910658515,-0.19778164474773502,0.02276862909522716,0.012016743018290652,255.0,1.0,157.40927510130572,255.0,0.0,145.20711391265195,249.0,0.0,129.61548851868528
312,0.00011882075512743537,484.4567923837422,365.00189185890395,0.05245527330113963,-0.5523513079960599,0.018791750850025355,0.009945798969172784,196.0,0.0,71.96165191740413,208.0,0.0,86.98230088495575,223.0,0.0,97.00884955752213
313,0.00015615074703491963,491.2250626915575,128.5325763908238,0.05366486181541348,-1.027284534287566,0.019376100315312377,0.010626461656328584,235.0,0.0,110.02566964285714,228.0,0.0,107.77176339285714,229.0,0.0,103.67075892857143
314,0.0002824984119525587,497.079175008984,407.43899840854255,0.06688858663097282,-1.4129556170989424,0.02527257325843059,0.014288247805752018,255.0,0.0,214.26598386095594,255.0,0.0,205.50527622594663,251.0,0.0,191.08721291123527
315,0.00026022223962548184,520.5127347712199,86.15290085270021,0.065637070204094,0.04802231645614747,0.024084158742126584,0.014029781789708226,203.0,0.0,116.75429726996967,213.0,0.0,122.46376811594203,221.0,0.0,121.75261206606
316,8.984432784260491e-05,513.0665859564165,149.45746569814366,0.03703218443758147,-1.004584350221174,0.012608500719372504,0.009338813912177866,129.0,0.0,35.31207065750736,147.0,0.0,42.712463199214916,171.0,0.0,51.996074582924436
317,0.0003626404225511438,515.7899820035993,212.04387122575486,0.07652547381631575,-1.056602454539892,0.027531050522718117,0.016899502779647184,219.0,0.0,81.28647087144921,234.0,0.0,89.75300914780934,250.0,0.0,105.43813192103997
318,0.00015632477963122492,519.4904443825958,525.7461267278968,0.049969607557424876,-0.3179010905060419,0.017803042541877742,0.011437988902168912,232.0,0.0,95.4116985376828,239.0,0.0,104.08323959505061,249.0,0.0,110.62710911136108
319,6.539274806171195e-05,542.3789642936349,239.71307385229542,0.036328710599572496,-1.2813600845445974,0.013851363392522869,0.006708910257961506,172.0,0.0,53.69553450608931,170.0,0.0,47.60487144790257,175.0,0.0,39.44248985115021
320,0.00022619886704779805,547.4323267294992,569.3970314804129,0.061346758735868534,1.1849698327230969,0.018898903927551215,0.015717190141523025,255.0,0.0,151.43308908600076,255.0,0.0,148.421133821828,241.0,0.0,129.94755109911299
321,0.00014153200894527544,545.7592222563787,133.36507326570344,0.04688888460347326,1.3376221201776695,0.014735164439527815,0.01245712528805264,158.0,0.0,54.762638717632555,171.0,0.0,67.31750924784217,194.0,0.0,83.49383477188655
322,3.7373500056560595e-05,558.534924330617,291.5442374854482,0.028444367808611478,-1.098911434972668,0.010667017056291974,0.004877673852955186,180.0,0.0,62.419953596287705,194.0,2.0,66.04872389791183,202.0,0.0,61.385150812064964
323,5.53858737741579e-05,558.9825216025138,167.33392249279916,0.03067337936793422,-1.0988073129710232,0.01165089412826366,0.0060930391006480105,231.0,0.0,50.10828025477707,235.0,0.0,56.047770700636946,237.0,0.0,63.35668789808917
324,9.724071318557965e-05,559.1324757643549,804.9478374347502,0.0433490615946237,-1.2511146262903283,0.014526121066183747,0.00949664478673247,210.0,0.0,80.62882882882883,212.0,0.0,79.88198198198198,207.0,0.0,72.58108108108108
