,label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
0,1,1.6384600755283976,43.38169934640523,1309.247494553377,2.2838642126488877,1.1145694464306366,1.515263854282356,6.622802518334994,71.0,74.0,81.0,22.122875816993464,22.96949891067538,28.977777777777778,0.0,0.0,0.0
1,2,0.7896021104725088,80.79023508137432,445.92043399638334,1.9281610922641566,0.5908403420590197,0.25795502838209033,4.501363689187609,211.0,213.0,212.0,80.69258589511755,82.01989150090417,84.28028933092224,0.0,0.0,2.0
2,3,0.6803714387706156,211.85519412381953,1287.7418677859391,1.4353054916233772,0.7191283483917638,-0.2582687312365998,3.7753557568610496,68.0,69.0,71.0,19.193074501573978,19.86778593913956,21.35781741867786,0.0,0.0,0.0
3,4,0.7938856662255241,303.48201438848923,1784.8390287769785,1.4772094288087996,0.8073398235659105,0.18584184320006816,4.243338405975607,191.0,190.0,188.0,116.5998201438849,113.85881294964028,111.16007194244604,2.0,0.0,5.0
4,5,0.5911306939161277,314.1147342995169,1820.256038647343,1.2030632211002716,0.6725942559901039,1.3744672578881159,3.277642482720893,147.0,142.0,138.0,41.028985507246375,40.020531400966185,39.427536231884055,3.0,0.0,0.0
5,6,1.0587521969536442,699.9737019554956,1948.116655428186,2.004850110985009,0.735645227784852,0.3203082477507767,4.840333696696166,71.0,70.0,75.0,17.714093054619017,18.194200944032367,21.0472016183412,0.0,0.0,4.0
6,7,1.2429450943333071,1059.9259046524985,1976.0011487650775,1.9337763964337316,0.9234459932614342,0.7883853113961387,5.128089604933766,234.0,236.0,233.0,97.59735784032165,97.87306145893164,97.53302699597933,0.0,0.0,0.0
7,8,0.8067363334845704,161.9212389380531,10.45221238938053,1.5101210479039182,0.733661890549941,0.10702676777522599,3.8719523391607824,155.0,156.0,160.0,71.70176991150443,71.68849557522124,71.68141592920354,0.0,0.0,0.0
8,9,0.5475812104271377,256.12907431551497,880.219035202086,1.0131271091155385,0.70907857158122,-0.991419443464447,2.897087769764144,161.0,160.0,156.0,36.78748370273794,36.73011734028683,37.352020860495436,0.0,0.0,0.0
9,10,1.0244837509295208,264.65574912891987,1234.9212543554006,1.281781916851096,1.0920550287620534,0.17405242196664877,4.067370190360076,41.0,43.0,42.0,12.471080139372821,13.60766550522648,15.64459930313589,0.0,0.0,0.0
10,11,0.6175459543930562,571.678612716763,389.6277456647399,1.9131195560946443,0.538449155528314,1.4420056179461507,4.470059973181255,125.0,125.0,125.0,34.47630057803468,34.57456647398844,35.75606936416185,0.0,0.0,0.0
11,12,0.7796071470488062,1094.4862637362637,528.5723443223443,1.4851547372586034,0.7686305856616725,-0.47251541087545407,3.9486385381959126,202.0,198.0,195.0,65.86263736263736,65.14010989010988,63.99267399267399,0.0,0.0,0.0
12,13,0.979506415522859,1152.0860058309038,13.619533527696793,1.4923356593003276,0.9370443904114257,0.3076919791445842,4.189899620104823,218.0,217.0,217.0,115.06486880466473,113.83163265306122,115.00728862973762,0.0,0.0,0.0
13,14,0.31198564401128964,1279.5148741418764,150.94965675057207,1.2545353279500964,0.3219462610104259,-0.02215432800936904,2.7734459967194818,255.0,253.0,251.0,201.8421052631579,199.33180778032036,196.45766590389016,6.0,1.0,0.0
14,15,0.7374855154774879,1411.2497579864473,1447.6766698935141,2.1404008219088695,0.5236885173897594,0.5246816436825879,4.838760605715412,149.0,144.0,138.0,36.26718296224588,35.512100677637946,33.93223620522749,0.0,0.0,0.0
15,16,1.0116330836704746,1414.091743119266,1050.4304869442485,2.4395152928084705,0.6004091432029515,-0.7206008026452269,5.457430218619561,181.0,177.0,168.0,67.25194071983063,66.45236414961185,64.80875088214538,5.0,5.0,5.0
16,17,0.8017388517727191,1490.2680320569903,376.4194122885129,1.8820863607712566,0.5604492390889544,-1.5537519711135754,4.220090992811262,139.0,139.0,139.0,63.842386464826355,63.70080142475512,63.34995547640249,1.0,0.0,0.0
17,18,0.4454897983136035,1492.3798076923076,26.822115384615383,1.375674757184511,0.4751805973775819,-1.433306621803125,3.369654741949663,78.0,77.0,75.0,53.708333333333336,52.82532051282051,52.37339743589744,9.0,9.0,11.0
18,19,2.3816569986765725,18.123800959232614,179.02188249400479,2.6076397286794446,1.2385027676236913,1.5204038299490112,6.709118111192887,173.0,175.0,182.0,64.83483213429257,64.86750599520384,65.87949640287769,0.0,0.0,2.0
19,20,4.342097681639962,25.25863202893785,296.1290693850707,3.6690254566874008,1.575449707530054,1.4007933112293687,9.079874325091188,188.0,192.0,195.0,97.99457415323907,98.69319302860902,101.09289707333114,1.0,0.0,0.0
20,21,0.45834046557264974,8.190031152647975,364.5342679127726,1.0724043542262642,0.5832898759128874,-1.50364539742511,2.8306825601708514,55.0,54.0,52.0,26.752336448598133,25.822429906542055,25.074766355140188,0.0,0.0,0.0
21,22,3.2683530395507643,17.625819134993446,621.8444735692442,3.724921434196751,1.259080020189326,-1.5483668106781705,9.07718889081052,154.0,155.0,160.0,80.15028396679773,81.11664482306684,86.74268239405855,0.0,0.0,0.0
22,23,2.208172990679448,21.41577756223731,721.7946977044941,2.219788179493535,1.3338025033686212,-1.2621166401847752,6.054886257020958,255.0,255.0,255.0,106.30035564177174,106.83963789201422,106.66408018105399,0.0,0.0,2.0
23,24,1.7312704501770648,17.16659793814433,803.1859793814433,2.0534625817550656,1.114176670370382,1.4875171793692923,5.444924542577893,228.0,229.0,224.0,96.74185567010309,95.02927835051547,92.13030927835051,1.0,0.0,0.0
